item name,upc,upc-pack,upc-case
FC22-SAMNOTE3GR,,,
FC22-SAMNOTE3HPK,,,
FC22-SAMNOTE3NV,,,
FC22-SAMNOTE3PK,,,
FC22-SAMNOTE3PP,,,
FC22-SAMNOTE3RD,,,
